date,quantity
28/05/2022,203
04/06/2022,254
11/06/2022,310
18/06/2022,321
25/06/2022,427
02/07/2022,360
09/07/2022,1897
16/07/2022,314
23/07/2022,398
30/07/2022,374
06/08/2022,472
13/08/2022,1463
20/08/2022,2346
27/08/2022,7653
03/09/2022,1072
10/09/2022,7130
17/09/2022,5198
24/09/2022,3179
01/10/2022,690
08/10/2022,2852
15/10/2022,1330
22/10/2022,1722
29/10/2022,2089
05/11/2022,1748
12/11/2022,892
19/11/2022,1393
26/11/2022,2583
03/12/2022,2163
10/12/2022,1789
17/12/2022,1299
24/12/2022,744
31/12/2022,1812
07/01/2023,1468
14/01/2023,2036
21/01/2023,2150
28/01/2023,2033
04/02/2023,1495
11/02/2023,1185
18/02/2023,883
25/02/2023,3046
04/03/2023,2134
11/03/2023,1087
18/03/2023,1949
25/03/2023,2525
01/04/2023,1374
08/04/2023,1287
15/04/2023,1597
22/04/2023,5942
29/04/2023,5529
06/05/2023,1682
13/05/2023,1769
20/05/2023,2391
27/05/2023,3216
03/06/2023,3098
10/06/2023,4298
17/06/2023,1809
24/06/2023,1678
01/07/2023,4537
08/07/2023,7470
15/07/2023,4068
22/07/2023,1510
29/07/2023,1762
05/08/2023,3449
12/08/2023,1783
19/08/2023,1945
26/08/2023,2118
02/09/2023,6300
09/09/2023,5517
16/09/2023,3181
23/09/2023,6264
30/09/2023,4280
07/10/2023,1655
14/10/2023,1436
21/10/2023,1640
28/10/2023,2404
04/11/2023,2859
11/11/2023,1678
18/11/2023,1589
25/11/2023,2300
02/12/2023,2441
09/12/2023,4301
16/12/2023,6706
23/12/2023,3442
30/12/2023,2006
06/01/2024,2199
13/01/2024,3083
20/01/2024,2279
27/01/2024,4882
03/02/2024,2339
10/02/2024,1716
17/02/2024,1481
24/02/2024,2262
02/03/2024,3465
09/03/2024,2405
16/03/2024,11816
23/03/2024,6976
30/03/2024,3340
06/04/2024,3257
13/04/2024,2672
20/04/2024,9236
27/04/2024,4424
04/05/2024,1707
11/05/2024,2135
18/05/2024,2129
25/05/2024,2060
01/06/2024,2306
08/06/2024,7492
15/06/2024,7257
22/06/2024,2325
29/06/2024,1551
06/07/2024,3492
13/07/2024,8716
20/07/2024,4530
27/07/2024,1731
03/08/2024,1656
10/08/2024,1871
17/08/2024,1986
24/08/2024,2501
31/08/2024,2342
